id,gloss,text
0350,air conditioner,مكيف
0351,wire,سلك كهربائي
0352,plug,قابس كهربائي ( فيش)
0353,bag,حقيبة سفر
0354,iron,مكواة
0355,thermometer,ميزان حرارة جوي
0356,God,الله تعالى
0357,Muhammad is the Messenger of Allah,محمد رسول الله
0358,Essa Christ,عيسى المسيح
0359,The Holy Quran,القرآن الكريم
0360,Rightly Guided Caliphs,الخلفاء الراشدون
0361,Sunnah,السنة النبوية
0362,Pillars of Islam,أركان الإسلام
0363,Pillars of Faith,أركان الإيمان
0364,The two certificates,الشهادتين
0365,pray,يصلي / الصلاة
0366,zakat,الزكاة
0367,Fasting,الصوم
0368,Umrah,العمرة
0369,Pilgrimage,الحج
0370,Angels,ملائكة
0371,messenger,رسول
0372,Doomsday,يوم القيامة
0373,Fate and destiny,القضاء والقدر
0374,Pillars of prayer,أركان الصلاة
0375,Good,خير
0376,Intention,النية
0377,Evil,شر
0378,purity,طهارة
0379,Prayer invalidators,مبطلات الصلاة
0380,tayammum,تيمم
0381,ablution,يتوضأ / وضوء
0382,authorized,يؤذن
0383,Wipe on the slippers,مسح على الخفين
0384,Al-fajr prayer,صلاة الفجر
0385,Salat Aduher,صلاة الظهر
0386,Asr prayer,صلاة العصر
0387,Maghreb's prayer,صلاة المغرب
0388,eshaa pray,صلاة العشاء
0389,speech,خطبة
0390,Friday sermon,خطبة الجمعة
0391,Fiance,خطيب
0392,Eid sermon,خطبة العيد
0393,Mosque,مسجد
0394,surah,سورة
0395,Before,إمام
0396,Al-Fatihah,سورة الفاتحة
0397,any,آية
0398,Night of Power,ليلة القدر
0399,Feast,عيد
0400,Eid al-Fitr,عيد الفطر
0401,Eid al-Adha,عيد الأضحى
0402,Ihram,إحرام
0403,Mecca,مكة
0404,Kaaba,الكعبة
0405,Medina,المدينة المنورة
0406,Mona,منى
0407,Arafat Mountain,جبل عرفات
0408,Safa and Marwa,الصفا والمروة
0409,Muzdalifah,مزدلفة
0410,Throwing pebbles,رمي الجمرات
0411,circumambulation,طواف
0412,Zamzam water,ماء زمزم
0413,the sacrifice,الأضحية
0414,break the ihram,فك الإحرام
0415,farewell circumambulation,طواف الوداع
0416,Al-Aqsa Mosque,المسجد الأقصى
0417,swim,يسبح
0418,Thank God,الحمد لله
0419,How great is our God,سبحان الله
0420,Faith,إيمان
0421,Polytheism,الشرك بالله
0422,I seek refuge in God,أعوذ بالله
0423,Satan,شيطان
0424,genie,جن
0425,the lost,الضالون
0426,angered them,المغضوب عليهم
0427,fetish,صنم
0428,fornication,زنى
0429,the Paradise,الجنة
0430,fire,النار
0431,spirit,روح
0432,rights,حقوق
0433,Duties,واجبات
0434,Deeds,حسنات
0435,sins,سيئات
0436,halal,حلال
0437,forbidden,حرام
0438,forgiveness,مغفرة
0439,religion,دين
0440,Christian,مسيحي
0441,Jewish,يهودي
0442,church,كنيسة
0443,Isra and Miraj,إسراء ومعراج
0444,Eve,حواء
0445,Adam,آدم
0446,charity,صدقة
0447,Prophet,نبي
0448,guidance,هداية
0449,honesty,أمانة
0450,martyr,شهيد
0451,Parental rights,حقوق الوالدين
0452,Disobedience to parents,عقوق الوالدين
0453,Muslim,مسلم
0454,Mercy,رحمة
0455,New Year's Holiday,عيد رأس السنة
0456,homework,فروض
0457,Dome of the Rock,قبة الصخرة
0458,Create,خلق
0459,engineer,مهندس
0460,photographer,مصور فوتوغرافي
0461,Meat man,جزار / قصاب
0462,driver,سائق
0463,jeweler,صائغ
0464,servant,خادم
0465,chairman,رئيس قسم
0466,blacksmith,حداد
0467,weld,لحام كهربائي
0468,Sign language translator,مترجم لغة الإشارة
0469,announcer,مذيع
0470,translator,مترجم لغات
0471,manager,مدير
0472,ambassador,سفير
0473,minister,وزير
0474,King,ملك / سلطان
0475,Premier Minister,أمير البلاد / رئيس الجمهورية
0476,sheikh,شيخ
0477,governor,محافظ / وال
0478,under secretary of state,ولي عهد / وكيل وزارة
0479,speaker,رئيس مجلس الشعب (النواب)
0480,general secretary,أمين عام
0481,journalist,صحفي
0482,draftsman,رسام
0483,tailor,خياط / تارزي
0484,policeman,ضابط
0485,pilot,طيار
0486,soldier,جندي
0487,barber,حلاق
0488,dyer,صباغ
0489,fireman,رجل إطفاء / دفاع مدني
0490,carpenter,نجار
0491,teacher,معلم / مدرس
0492,chef,طباخ
0493,farmer,فلاح
0494,agent,موظف
0495,treasurer,أمين صندوق
0496,pharmacist,صيدلي
0497,doctor,طبيب
0498,nurse,ممرضة
0499,orderly,ممرض
0500,lawyer,محام
0501,traveling,انتقال
0502,appointment,تعيين
0503,I,أنا
0504,You (male),أنتَ
0505,You (female),أنتِ
0506,You (plural male),أنتم
0507,You (dual),أنتما
0508,You (plural female),أنتن
0509,He,هو
0510,She,هي
0511,They (male),هم
0512,They (dual),هما
0513,They (female),هن
0514,We,نحن
